DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:25:41.8921829Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:25:42.9365198Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:25:58.9941598Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:25:59.6981115Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:26:07.8503288Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:26:08.5236256Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T11:26:15.7954320Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:26:16.4893382Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T11:26:42.0384655Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:26:43.0982779Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:26:59.1345234Z
DADOS | WAVY_08 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:26:59.8248093Z
DADOS | WAVY_13 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T11:27:07.9862330Z
DADOS | WAVY_14 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T11:27:08.6444776Z
DADOS | WAVY_19 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:27:15.9230221Z
DADOS | WAVY_20 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T11:27:16.6126811Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T11:27:42.0629182Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T11:27:43.1311970Z
DADOS | WAVY_07 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T11:27:59.1552852Z
